start_lat,start_lon,end_lat,end_lon
1.32873,103.82406,1.32839,103.82449
1.32839,103.82449,1.32787,103.82501
1.32787,103.82501,1.3273,103.82554
1.3273,103.82554,1.32691,103.82607
1.32691,103.82607,1.32674,103.82647
1.32674,103.82647,1.32665,103.82685
1.32665,103.82685,1.32663,103.8272
1.32663,103.8272,1.32664,103.82737
1.32664,103.82737,1.32693,103.82896
1.32693,103.82896,1.32695,103.82941
1.32695,103.82941,1.32687,103.82992
1.32687,103.82992,1.32679,103.83023
1.32679,103.83023,1.32661,103.8306
1.32661,103.8306,1.32615,103.83144
1.32615,103.83144,1.32599,103.83187
1.32599,103.83187,1.32593,103.83234
1.32593,103.83234,1.32596,103.83279
1.32596,103.83279,1.32607,103.83327
1.32607,103.83327,1.32651,103.83471
1.32651,103.83471,1.32719,103.83678
1.32719,103.83678,1.32744,103.83727
1.32744,103.83727,1.32764,103.83786
1.32764,103.83786,1.32786,103.83835
1.32786,103.83835,1.32803,103.83855
1.32803,103.83855,1.32826,103.83887
1.32826,103.83887,1.3284,103.83901
1.3284,103.83901,1.3286,103.83913
1.3286,103.83913,1.32881,103.8392
1.32881,103.8392,1.32894,103.83922
1.32894,103.83922,1.32937,103.83928
1.32937,103.83928,1.32954,103.83934
1.32954,103.83934,1.32963,103.83944
1.32963,103.83944,1.32973,103.83957
1.32973,103.83957,1.32991,103.83984
1.32991,103.83984,1.32971,103.84006
1.32971,103.84006,1.3295,103.84023
1.3295,103.84023,1.3293,103.84033
1.3293,103.84033,1.32914,103.84041
1.32914,103.84041,1.328,103.841
1.328,103.841,1.32737,103.84132
1.32737,103.84132,1.32728,103.84136
1.32728,103.84136,1.32725,103.84138
1.32725,103.84138,1.32693,103.84155
1.32693,103.84155,1.32645,103.84179
1.32645,103.84179,1.3264,103.84182
1.3264,103.84182,1.32634,103.84184
1.32634,103.84184,1.32616,103.8419
1.32616,103.8419,1.32596,103.84196
1.32596,103.84196,1.32573,103.84198
1.32573,103.84198,1.32541,103.842
1.32541,103.842,1.32506,103.84199
1.32506,103.84199,1.32456,103.84192
1.32456,103.84192,1.3245,103.84191
1.3245,103.84191,1.32416,103.84185
1.32416,103.84185,1.32363,103.84178
1.32363,103.84178,1.32345,103.84175
1.32345,103.84175,1.32338,103.84174
1.32338,103.84174,1.32311,103.8417
1.32311,103.8417,1.32307,103.8417
1.32307,103.8417,1.32292,103.84168
1.32292,103.84168,1.32249,103.84163
1.32249,103.84163,1.32227,103.84163
1.32227,103.84163,1.32221,103.84163
1.32221,103.84163,1.32208,103.84164
1.32208,103.84164,1.32164,103.8418
1.32164,103.8418,1.32147,103.84186
1.32147,103.84186,1.32128,103.84195
1.32128,103.84195,1.32122,103.84198
1.32122,103.84198,1.32122,103.84198
1.32122,103.84198,1.32119,103.842
1.32119,103.842,1.32087,103.84221
1.32087,103.84221,1.32067,103.84237
1.32067,103.84237,1.32046,103.84254
1.32046,103.84254,1.31984,103.84304
1.31984,103.84304,1.31887,103.8438
1.31887,103.8438,1.31882,103.84384
1.31882,103.84384,1.31876,103.84386
1.31876,103.84386,1.31811,103.84414
1.31811,103.84414,1.31806,103.84416
1.31806,103.84416,1.31779,103.84424
1.31779,103.84424,1.31743,103.84436
1.31743,103.84436,1.31702,103.8445
1.31702,103.8445,1.31694,103.84452
1.31694,103.84452,1.3169,103.84453
1.3169,103.84453,1.31681,103.84456
1.31681,103.84456,1.31671,103.8446
1.31671,103.8446,1.31599,103.84482
1.31599,103.84482,1.31555,103.84497
